OID,OBJECTID,Codigo,Abscisa_in,Abscisa_fi,Abscisa_pl,GlobalID_1,SHAPE_Leng,ID_dragado,Volumen_m3,Longitud,Fecha_inic,Fecha_fina,Draga,Contrato,Estado,Tramo,Municipio,Shape_Le_1,Shape_Area,concatenad
-1,26,08000138000020216,K8+000,K9+000,0.0000000,{4AF07172-0DDC-41AF-8F00-340C4E89D8AB},2599.999728499999947,15,0.000000000000000,1000.000000000000000,2/02/2016 0:00:00,15/02/2016 0:00:00,Niccolo Machiavelli, ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2599.999728498541572,299999.905740251822863,15Barranquilla
-1,27,08000127000020216,K7+000,K8+000,0.0000000,{15B3706D-585F-4D1C-9411-683D3D42C07C},2599.961967130000176,16,48928.000000000000000,1000.000000000000000,2/02/2016 0:00:00,15/02/2016 0:00:00,Niccolo Machiavelli, ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2599.961908498602497,299999.896213199710473,16Barranquilla
-1,28,08000126000020216,K6+000,K7+000,0.0000000,{0708C7DD-5C32-4778-8E4C-2CD33E15B8AA},2606.766468410000016,17,16867.000000000000000,1000.000000000000000,2/02/2016 0:00:00,15/02/2016 0:00:00,Niccolo Machiavelli, ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2606.766409778017078,298272.291275992640294,17Barranquilla
-1,29,08000125000020216,K5+000,K6+000,0.0000000,{705EFC4F-3CF8-4628-9169-DBA2D6D0DA41},2599.999440080000113,18,2.000000000000000,1000.000000000000000,2/02/2016 0:00:00,15/02/2016 0:00:00,Niccolo Machiavelli, ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2599.999440083594436,299999.629664436622988,18Barranquilla
-1,30,080001420000030816,K20+000,K22+000,0.0000000,{0426DEA7-5974-4952-9AC9-56C1D404A22F},4146.482624059999580,19,130079.000000000000000,2000.000000000000000,3/08/2016 0:00:00,3/08/2016 0:00:00,Niccolo Machiavelli, ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,4146.482624056452551,529493.047237398684956,19Barranquilla
-1,31,080001314000060816,K14+000,K15+000,0.0000000,{7C1ECA81-041D-4FDE-90EC-C2BF609E1B59},2616.180366139999933,20,78738.000000000000000,1000.000000000000000,6/08/2016 0:00:00,7/08/2016 0:00:00,Niccolo Machiavelli, ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2616.167150356084221,300948.507491313503124,20Barranquilla
-1,32,08000139700070816,K9+700,K11+100,0.0000000,{87C9AF43-AAA1-4D3C-8BBE-8A29DEDB5BC1},3435.667462689999866,21,118402.000000000000000,1400.000000000000000,7/08/2016 0:00:00,7/08/2016 0:00:00,Niccolo Machiavelli, ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,3435.667462689346394,425228.908669184544124,21Barranquilla
-1,33,08000111200080816,K1+200,K2+000,0.0000000,{A135A6C2-9932-469D-9566-36588E3592FC},2396.588448500000140,22,50703.000000000000000,800.000000000000000,8/08/2016 0:00:00,8/08/2016 0:00:00,Niccolo Machiavelli, ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2396.588448504312055,269486.727725020435173,22Barranquilla
-1,34,08000122000080816,K2+000,K2+800,0.0000000,{670340C0-26BB-499D-869E-6FE1FB3F6A91},2310.622716339999897,23,50703.000000000000000,800.000000000000000,8/08/2016 0:00:00,8/08/2016 0:00:00,Niccolo Machiavelli, ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2310.622716335312816,256590.825652088737115,23Barranquilla
-1,35,08000126700110816,K6+700,K8+150,0.0000000,{B319C9C5-5D64-4040-8388-EA28F7506FB8},3519.211223249999875,24,11125.000000000000000,1450.000000000000000,11/08/2016 0:00:00,11/08/2016 0:00:00,Niccolo Machiavelli, ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,3519.211208981256277,436328.946159745217301,24Barranquilla
-1,36,08000122500020216,K2+500,K3+000,0.0000000,{D056E1E4-01AD-48DD-917E-1C7CF9989AC4},1600.000248670000019,25,11507.000000000000000,500.000000000000000,2/02/2016 0:00:00,15/02/2016 0:00:00,Niccolo Machiavelli, ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,1600.000248669646680,150000.032029465743108,25Barranquilla
-1,38,0000001400040119,K0-400,K0+100,0.0000000,{23E42D71-2B46-4C67-A5F4-3368253F5B9A},3863.473894369999925,26,189803.000000000000000,500.000000000000000,4/01/2019 0:00:00,4/02/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,3863.452368604884214,487684.135597174405120,26Barranquilla
-1,39,0000001400120419,K0-400,K0+600,0.0000000,{078B912B-3011-4677-86D6-C9A2892B8FAE},2552.224473960000068,27,219030.000000000000000,1000.000000000000000,12/04/2019 0:00:00,2/05/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,2552.202948546127118,289826.377391430374701,27Barranquilla
-1,40,0000001200250719,K0-200,K2+000,0.0000000,{E5003986-9138-4161-BB90-D2801E2508EA},8604.913559419999729,28,90758.000000000000000,4000.000000000000000,25/07/2019 0:00:00,14/08/2019 0:00:00, , ,Finalizado,Bocas de Ceniza a Puente Pumarejo,Barranquilla,8604.892034002936271,1197742.408329046331346,28Barranquilla
